               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11587,            0.027337,            0.030381,             0.84585,             0.10477,             0.10631,            0.036816,            0.082077,            0.026359,            0.025481,            0.070105,           0.0033217,           0.0033217
                   1,            0.088658,            0.024036,              0.0201,             0.48967,             0.26245,             0.19735,             0.06624,            0.077057,            0.021503,            0.017771,            0.040083,           0.0066331,           0.0066331
                   2,            0.085101,             0.02093,            0.016473,             0.60625,             0.28359,              0.2581,            0.095558,             0.07367,            0.020579,            0.015137,            0.010039,           0.0099225,           0.0099225
                   3,            0.079823,            0.020219,            0.014132,             0.64713,             0.32442,             0.33509,             0.14934,            0.066554,            0.019819,              0.0137,            0.009901,            0.009901,            0.009901
                   4,            0.073894,            0.019951,            0.012404,             0.65844,              0.3916,             0.38765,              0.1726,            0.062415,            0.019006,            0.013246,            0.009901,            0.009901,            0.009901
                   5,            0.070191,            0.019573,            0.012034,             0.74225,               0.362,             0.40322,              0.1786,            0.063251,            0.018955,            0.013645,            0.009868,            0.009868,            0.009868
                   6,            0.069314,            0.019588,            0.011638,             0.77784,             0.38134,             0.43535,             0.20753,            0.058337,            0.018957,            0.013069,            0.009835,            0.009835,            0.009835
                   7,            0.066966,             0.01906,            0.011244,             0.74214,             0.37494,             0.39896,             0.18447,            0.058367,            0.018853,            0.014073,            0.009802,            0.009802,            0.009802
                   8,            0.065208,              0.0192,            0.010336,             0.80732,             0.40216,             0.45659,             0.21299,            0.057141,            0.018386,            0.012112,            0.009769,            0.009769,            0.009769
                   9,            0.064165,            0.018542,            0.010424,             0.77579,             0.40965,             0.44969,             0.20617,            0.056835,            0.018296,            0.012404,            0.009736,            0.009736,            0.009736
                  10,             0.06378,            0.018624,            0.010157,             0.78199,             0.41978,             0.46532,             0.22942,            0.056192,             0.01818,            0.012114,            0.009703,            0.009703,            0.009703
                  11,            0.062785,              0.0188,           0.0094321,             0.71416,             0.40682,             0.42376,             0.20602,            0.055701,            0.018293,            0.014479,             0.00967,             0.00967,             0.00967
                  12,            0.061872,            0.018383,           0.0094614,             0.79075,             0.44078,             0.47327,             0.22445,            0.055069,            0.017825,            0.011873,            0.009637,            0.009637,            0.009637
                  13,            0.061197,            0.018717,           0.0096286,             0.80894,             0.43436,             0.47639,             0.24252,            0.052554,            0.017591,            0.011596,            0.009604,            0.009604,            0.009604
                  14,            0.059656,            0.018289,           0.0090581,             0.83252,             0.43359,             0.49159,             0.24852,            0.053242,            0.017631,            0.011672,            0.009571,            0.009571,            0.009571
                  15,            0.059665,            0.017852,           0.0088164,             0.79897,             0.44995,             0.48633,             0.23622,             0.05255,            0.017602,            0.011938,            0.009538,            0.009538,            0.009538
                  16,            0.058702,            0.017987,            0.008703,             0.82612,             0.43939,              0.4977,             0.24664,            0.052845,            0.017436,            0.011595,            0.009505,            0.009505,            0.009505
                  17,            0.059198,            0.017921,            0.009162,             0.82333,              0.4391,             0.50567,             0.24835,            0.051153,            0.017296,            0.011296,            0.009472,            0.009472,            0.009472
                  18,            0.058474,            0.017557,           0.0087329,             0.82072,             0.44187,              0.4906,             0.24595,             0.05127,            0.017479,            0.011687,            0.009439,            0.009439,            0.009439
